,pcm_intensity_sma_max,1.8979357e-08
300,lspFreq_sma[1]_iqr1-2,0.17172289
495,pcm_intensity_sma_de_range,8.972149e-09
338,lspFreq_sma[3]_iqr1-2,0.11295295
434,pcm_zcr_sma_iqr2-3,0.013901481
184,mfcc_sma[8]_quartile2,16.045645
281,lspFreq_sma[0]_iqr1-2,0.03707908
400,lspFreq_sma[7]_range,0.6124363
304,lspFreq_sma[2]_min,0.47282478
186,mfcc_sma[8]_iqr1-2,6.458126
376,lspFreq_sma[5]_iqr1-2,0.07464361
96,mfcc_sma[4]_range,64.298836
54,mfcc_sma[1]_iqr2-3,5.045721
733,mfcc_sma_de[11]_kurtosis,3.5575714
262,mfcc_sma[12]_iqr1-2,4.869748
205,mfcc_sma[9]_iqr1-2,4.707352
89,mfcc_sma[3]_quartile2,6.3317475
207,mfcc_sma[9]_iqr1-3,10.08766
299,lspFreq_sma[1]_quartile3,0.7748523
148,mfcc_sma[6]_iqr1-2,7.173479
416,lspFreq_sma[7]_iqr1-3,0.09569502
779,lspFreq_sma_de[1]_min,-0.11157112
571,mfcc_sma_de[3]_range,14.506464
395,lspFreq_sma[6]_iqr1-2,0.15318322
431,pcm_zcr_sma_quartile2,0.023572078
110,mfcc_sma[4]_iqr1-2,5.4488297
885,lspFreq_sma_de[6]_kurtosis,8.424962
280,lspFreq_sma[0]_quartile3,0.26470628
285,lspFreq_sma[1]_min,0.285458
4,pcm_intensity_sma_amean,8.0084706e-10
23,pcm_loudness_sma_amean,0.069537625
357,lspFreq_sma[4]_iqr1-2,0.19485033
224,mfcc_sma[10]_iqr1-2,5.2526383
3,pcm_intensity_sma_minPos,221.0
22,pcm_loudness_sma_minPos,221.0
176,mfcc_sma[8]_linregc1,-0.00131972
931,voiceProb_sma_de_min,-0.12637307
380,lspFreq_sma[6]_min,1.9618908
646,mfcc_sma_de[7]_min,-10.992106
52,mfcc_sma[1]_quartile3,3.6781206
187,mfcc_sma[8]_iqr2-3,5.428591
533,mfcc_sma_de[1]_range,20.669376
283,lspFreq_sma[0]_iqr1-3,0.10955271
167,mfcc_sma[7]_iqr1-2,11.26173
581,mfcc_sma_de[3]_kurtosis,4.627965
119,mfcc_sma[5]_linregc1,-0.004310611
394,lspFreq_sma[6]_quartile3,2.4316502
337,lspFreq_sma[3]_quartile3,1.3694737
247,mfcc_sma[12]_min,-27.171152
857,lspFreq_sma_de[5]_maxPos,160.0
233,mfcc_sma[11]_linregc1,0.0075824335
152,mfcc_sma[7]_min,-46.287975
359,lspFreq_sma[4]_iqr1-3,0.2749033
243,mfcc_sma[11]_iqr1-2,5.05588
109,mfcc_sma[4]_quartile3,17.953587
768,lspFreq_sma_de[0]_linregerrQ,0.00059774704
318,lspFreq_sma[2]_quartile3,1.078188
361,lspFreq_sma[5]_min,1.6096412
127,mfcc_sma[5]_quartile2,-2.225736
146,mfcc_sma[6]_quartile2,7.755491
375,lspFreq_sma[5]_quartile3,2.066776
11,pcm_intensity_sma_kurtosis,27.558908
128,mfcc_sma[5]_quartile3,8.09959
666,mfcc_sma_de[8]_range,15.182374
432,pcm_zcr_sma_quartile3,0.03747356
410,lspFreq_sma[7]_kurtosis,7.4731684
826,lspFreq_sma_de[3]_stddev,0.0190288
242,mfcc_sma[11]_quartile3,-0.2262841
904,lspFreq_sma_de[7]_kurtosis,12.931684
875,lspFreq_sma_de[6]_range,0.17944512
150,mfcc_sma[6]_iqr1-3,13.637976
203,mfcc_sma[9]_quartile2,4.511906
407,lspFreq_sma[7]_linregerrQ,0.01007449
714,mfcc_sma_de[10]_kurtosis,3.9530795
496,pcm_intensity_sma_de_maxPos,169.0
71,mfcc_sma[2]_quartile3,16.441832
827,lspFreq_sma_de[3]_skewness,-1.066454
172,mfcc_sma[8]_range,72.500595
77,mfcc_sma[3]_range,73.07341
600,mfcc_sma_de[4]_kurtosis,3.8734977
742,mfcc_sma_de[12]_range,18.837727
214,mfcc_sma[10]_linregc1,-0.006492909
518,pcm_loudness_sma_de_linregc1,-3.8046932e-07
33,pcm_loudness_sma_quartile3,0.08606246
628,mfcc_sma_de[6]_range,18.753521
252,mfcc_sma[12]_linregc1,0.0020207257
876,lspFreq_sma_de[6]_maxPos,59.0
116,mfcc_sma[5]_maxPos,897.0
97,mfcc_sma[4]_maxPos,524.0
853,lspFreq_sma_de[4]_iqr1-3,0.018187344
138,mfcc_sma[6]_linregc1,-0.004653525
106,mfcc_sma[4]_kurtosis,3.645073
871,lspFreq_sma_de[5]_iqr2-3,0.0063594165
684,mfcc_sma_de[9]_min,-8.21366
129,mfcc_sma[5]_iqr1-2,17.133581
890,lspFreq_sma_de[6]_iqr2-3,0.0070217843
378,lspFreq_sma[5]_iqr1-3,0.15471959
798,lspFreq_sma_de[2]_min,-0.113462545
594,mfcc_sma_de[4]_linregc1,-0.00010378927
653,mfcc_sma_de[7]_linregerrA,1.828565
399,lspFreq_sma[7]_min,2.2157733
505,pcm_intensity_sma_de_kurtosis,24.480124
178,mfcc_sma[8]_linregerrA,7.831766
260,mfcc_sma[12]_quartile2,1.8298893
795,lspFreq_sma_de[1]_iqr2-3,0.011458525
547,mfcc_sma_de[1]_iqr1-2,0.8096937
226,mfcc_sma[10]_iqr1-3,10.834428
913,pcm_zcr_sma_de_range,0.12417649
216,mfcc_sma[10]_linregerrA,6.5613456
670,mfcc_sma_de[8]_linregc1,-3.7919763e-05
562,mfcc_sma_de[2]_kurtosis,5.3337784
760,lspFreq_sma_de[0]_min,-0.09227575
135,mfcc_sma[6]_maxPos,825.0
165,mfcc_sma[7]_quartile2,3.299106
210,mfcc_sma[10]_range,58.125923
157,mfcc_sma[7]_linregc1,0.006607919
501,pcm_intensity_sma_de_linregerrA,2.1537964e-10
30,pcm_loudness_sma_kurtosis,6.041898
342,lspFreq_sma[4]_min,1.1359422
356,lspFreq_sma[4]_quartile3,1.7087882
610,mfcc_sma_de[5]_maxPos,363.0
248,mfcc_sma[12]_range,50.971054
154,mfcc_sma[7]_maxPos,47.0
191,mfcc_sma[9]_range,59.79117
140,mfcc_sma[6]_linregerrA,8.605199
515,pcm_loudness_sma_de_maxPos,906.0
893,lspFreq_sma_de[7]_min,-0.12152054
776,lspFreq_sma_de[0]_iqr2-3,0.009752589
686,mfcc_sma_de[9]_maxPos,508.0
887,lspFreq_sma_de[6]_quartile2,0.000519371
552,mfcc_sma_de[2]_range,18.019598
419,pcm_zcr_sma_range,0.29948625
229,mfcc_sma[11]_range,57.222336
401,lspFreq_sma[7]_maxPos,400.0
665,mfcc_sma_de[8]_min,-6.7318344
741,mfcc_sma_de[12]_min,-11.145914
520,pcm_loudness_sma_de_linregerrA,0.00658593
590,mfcc_sma_de[4]_range,13.432309
222,mfcc_sma[10]_quartile2,-5.673013
643,mfcc_sma_de[6]_iqr2-3,1.2153841
685,mfcc_sma_de[9]_range,16.87073
102,mfcc_sma[4]_linregerrA,7.1922717
92,mfcc_sma[3]_iqr2-3,5.447454
189,mfcc_sma[9]_max,28.072838
454,voiceProb_sma_iqr1-3,0.25113422
652,mfcc_sma_de[7]_linregc2,-0.067788415
561,mfcc_sma_de[2]_skewness,-0.3415375
254,mfcc_sma[12]_linregerrA,6.456803
868,lspFreq_sma_de[5]_quartile2,0.0012001157
249,mfcc_sma[12]_maxPos,269.0
743,mfcc_sma_de[12]_maxPos,701.0
236,mfcc_sma[11]_linregerrQ,73.30528
677,mfcc_sma_de[8]_quartile1,-1.4233272
566,mfcc_sma_de[2]_iqr1-2,1.1709095
143,mfcc_sma[6]_skewness,-0.49096885
111,mfcc_sma[4]_iqr2-3,6.3834276
629,mfcc_sma_de[6]_maxPos,20.0
845,lspFreq_sma_de[4]_stddev,0.023632437
894,lspFreq_sma_de[7]_range,0.2243911
95,mfcc_sma[4]_min,-25.660711
584,mfcc_sma_de[3]_quartile3,0.9826555
638,mfcc_sma_de[6]_kurtosis,4.38212
846,lspFreq_sma_de[4]_skewness,-0.56684303
209,mfcc_sma[10]_min,-31.550821
78,mfcc_sma[3]_maxPos,153.0
504,pcm_intensity_sma_de_skewness,0.93216556
549,mfcc_sma_de[1]_iqr1-3,1.678072
340,lspFreq_sma[3]_iqr1-3,0.21430457
747,mfcc_sma_de[12]_linregc2,0.033659317
411,lspFreq_sma[7]_quartile1,2.692443
524,pcm_loudness_sma_de_kurtosis,8.367929
929,pcm_zcr_sma_de_iqr1-3,0.0051677246
851,lspFreq_sma_de[4]_iqr1-2,0.008788759
855,lspFreq_sma_de[5]_min,-0.10900036
695,mfcc_sma_de[9]_kurtosis,4.1146235
667,mfcc_sma_de[8]_maxPos,171.0
825,lspFreq_sma_de[3]_linregerrQ,0.00036169338
817,lspFreq_sma_de[3]_min,-0.09796196
560,mfcc_sma_de[2]_stddev,2.0345633
323,lspFreq_sma[3]_min,0.97427696
793,lspFreq_sma_de[1]_quartile3,0.012597826
204,mfcc_sma[9]_quartile3,9.892214
748,mfcc_sma_de[12]_linregerrA,1.5364006
752,mfcc_sma_de[12]_kurtosis,5.2035317
192,mfcc_sma[9]_maxPos,352.0
647,mfcc_sma_de[7]_range,22.633522
188,mfcc_sma[8]_iqr1-3,11.886717
414,lspFreq_sma[7]_iqr1-2,0.06838632
723,mfcc_sma_de[11]_range,16.531303
162,mfcc_sma[7]_skewness,-0.98766065
609,mfcc_sma_de[5]_range,21.269957
408,lspFreq_sma[7]_stddev,0.102945946
589,mfcc_sma_de[4]_min,-7.0979385
874,lspFreq_sma_de[6]_min,-0.1015476
856,lspFreq_sma_de[5]_range,0.20325899
807,lspFreq_sma_de[2]_stddev,0.01973443
773,lspFreq_sma_de[0]_quartile2,-0.00056100637
657,mfcc_sma_de[7]_kurtosis,4.698458
115,mfcc_sma[5]_range,83.80349
73,mfcc_sma[2]_iqr2-3,6.720587
852,lspFreq_sma_de[4]_iqr2-3,0.009398585
526,pcm_loudness_sma_de_quartile2,-0.000105232
185,mfcc_sma[8]_quartile3,21.474236
627,mfcc_sma_de[6]_min,-10.569384
864,lspFreq_sma_de[5]_stddev,0.020039484
201,mfcc_sma[9]_kurtosis,4.112651
238,mfcc_sma[11]_skewness,-0.2602471
865,lspFreq_sma_de[5]_skewness,-0.39378625
806,lspFreq_sma_de[2]_linregerrQ,0.00038922782
591,mfcc_sma_de[4]_maxPos,898.0
230,mfcc_sma[11]_maxPos,245.0
39,mfcc_sma[1]_range,70.10693
166,mfcc_sma[7]_quartile3,9.821652
886,lspFreq_sma_de[6]_quartile1,-0.005523336
197,mfcc_sma[9]_linregerrA,6.2884336
587,mfcc_sma_de[3]_iqr1-3,1.9516202
717,mfcc_sma_de[10]_quartile3,1.2121587
125,mfcc_sma[5]_kurtosis,2.2378514
499,pcm_intensity_sma_de_linregc1,-9.265443e-15
862,lspFreq_sma_de[5]_linregerrA,0.012931488
841,lspFreq_sma_de[4]_linregc1,2.2512743e-06
241,mfcc_sma[11]_quartile2,-5.676109
641,mfcc_sma_de[6]_quartile3,1.308752
198,mfcc_sma[9]_linregerrQ,66.45154
605,mfcc_sma_de[4]_iqr2-3,1.009064
261,mfcc_sma[12]_quartile3,7.160077
409,lspFreq_sma[7]_skewness,-2.032732
144,mfcc_sma[6]_kurtosis,3.6094522
208,mfcc_sma[10]_max,26.575102
245,mfcc_sma[11]_iqr1-3,10.505705
101,mfcc_sma[4]_linregc2,10.498658
550,mfcc_sma_de[2]_max,7.881755
704,mfcc_sma_de[10]_range,15.7900915
551,mfcc_sma_de[2]_min,-10.137843
173,mfcc_sma[8]_maxPos,300.0
382,lspFreq_sma[6]_maxPos,433.0
909,lspFreq_sma_de[7]_iqr2-3,0.0046983003
153,mfcc_sma[7]_range,74.4071
142,mfcc_sma[6]_stddev,11.323232
746,mfcc_sma_de[12]_linregc1,-4.2102965e-05
899,lspFreq_sma_de[7]_linregc2,-0.0004139725
223,mfcc_sma[10]_quartile3,-0.091223955
778,lspFreq_sma_de[1]_max,0.09169886
787,lspFreq_sma_de[1]_linregerrQ,0.00059775246
237,mfcc_sma[11]_stddev,8.834512
211,mfcc_sma[10]_maxPos,176.0
362,lspFreq_sma[5]_range,0.5566524
586,mfcc_sma_de[3]_iqr2-3,1.0829748
568,mfcc_sma_de[2]_iqr1-3,2.2298245
619,mfcc_sma_de[5]_kurtosis,4.72936
736,mfcc_sma_de[11]_quartile3,1.3720433
124,mfcc_sma[5]_skewness,-0.46046367
123,mfcc_sma[5]_stddev,16.826073
572,mfcc_sma_de[3]_maxPos,928.0
651,mfcc_sma_de[7]_linregc1,0.00013498851
703,mfcc_sma_de[10]_min,-7.674247
808,lspFreq_sma_de[2]_skewness,-0.7173352
697,mfcc_sma_de[9]_quartile2,-0.047859192
451,voiceProb_sma_quartile3,0.58153117
258,mfcc_sma[12]_kurtosis,3.8213835
837,lspFreq_sma_de[4]_range,0.1818375
257,mfcc_sma[12]_skewness,-0.3749605
90,mfcc_sma[3]_quartile3,11.7792015
758,mfcc_sma_de[12]_iqr1-3,2.4860752
381,lspFreq_sma[6]_range,0.5236331
76,mfcc_sma[3]_min,-26.228739
585,mfcc_sma_de[3]_iqr1-2,0.8686454
413,lspFreq_sma[7]_quartile3,2.788138
220,mfcc_sma[10]_kurtosis,3.7449625
133,mfcc_sma[6]_min,-32.338787
738,mfcc_sma_de[11]_iqr2-3,1.3701626
134,mfcc_sma[6]_range,68.19053
705,mfcc_sma_de[10]_maxPos,805.0
147,mfcc_sma[6]_quartile3,14.219988
910,lspFreq_sma_de[7]_iqr1-3,0.009704316
883,lspFreq_sma_de[6]_stddev,0.020136794
437,voiceProb_sma_min,0.17976713
708,mfcc_sma_de[10]_linregc1,-3.9812978e-05
195,mfcc_sma[9]_linregc1,-0.0058208625
580,mfcc_sma_de[3]_skewness,0.034785282
239,mfcc_sma[11]_kurtosis,3.388919
698,mfcc_sma_de[9]_quartile3,1.335733
700,mfcc_sma_de[9]_iqr2-3,1.3835922
648,mfcc_sma_de[7]_maxPos,922.0
660,mfcc_sma_de[7]_quartile3,1.4623544
944,voiceProb_sma_de_quartile2,-0.00029254556
679,mfcc_sma_de[8]_quartile3,1.2638215
158,mfcc_sma[7]_linregc2,-3.703829
662,mfcc_sma_de[7]_iqr2-3,1.3172888
895,lspFreq_sma_de[7]_maxPos,248.0
545,mfcc_sma_de[1]_quartile2,-0.09763889
199,mfcc_sma[9]_stddev,8.321472
159,mfcc_sma[7]_linregerrA,11.23196
130,mfcc_sma[5]_iqr2-3,10.325326
200,mfcc_sma[9]_skewness,-0.4229123
722,mfcc_sma_de[11]_min,-8.290716
170,mfcc_sma[8]_max,39.14506
169,mfcc_sma[7]_iqr1-3,17.784277
863,lspFreq_sma_de[5]_linregerrQ,0.0004013159
833,lspFreq_sma_de[3]_iqr2-3,0.008418893
644,mfcc_sma_de[6]_iqr1-3,2.5886269
900,lspFreq_sma_de[7]_linregerrA,0.010971868
927,pcm_zcr_sma_de_iqr1-2,0.0026594137
831,lspFreq_sma_de[3]_quartile3,0.010320532
696,mfcc_sma_de[9]_quartile1,-1.3491111
397,lspFreq_sma[6]_iqr1-3,0.21958208
905,lspFreq_sma_de[7]_quartile1,-0.0045350436
757,mfcc_sma_de[12]_iqr2-3,1.2386494
579,mfcc_sma_de[3]_stddev,1.8654147
161,mfcc_sma[7]_stddev,14.230297
838,lspFreq_sma_de[4]_maxPos,363.0
151,mfcc_sma[7]_max,28.119123
622,mfcc_sma_de[5]_quartile3,1.4857948
884,lspFreq_sma_de[6]_skewness,-0.8182207
732,mfcc_sma_de[11]_skewness,-0.08918053
926,pcm_zcr_sma_de_quartile3,0.002629193
814,lspFreq_sma_de[2]_iqr2-3,0.008307221
255,mfcc_sma[12]_linregerrQ,71.015144
844,lspFreq_sma_de[4]_linregerrQ,0.0005580739
565,mfcc_sma_de[2]_quartile3,1.1718241
602,mfcc_sma_de[4]_quartile2,0.07402401
608,mfcc_sma_de[5]_min,-12.376445
789,lspFreq_sma_de[1]_skewness,-0.62675554
818,lspFreq_sma_de[3]_range,0.16871916
642,mfcc_sma_de[6]_iqr1-2,1.3732429
640,mfcc_sma_de[6]_quartile2,0.09336777
920,pcm_zcr_sma_de_linregerrQ,0.00012815924
796,lspFreq_sma_de[1]_iqr1-3,0.022707995
682,mfcc_sma_de[8]_iqr1-3,2.6871486
907,lspFreq_sma_de[7]_quartile3,0.0051692724
107,mfcc_sma[4]_quartile1,6.1213293
141,mfcc_sma[6]_linregerrQ,126.42898
866,lspFreq_sma_de[5]_kurtosis,8.0186615
506,pcm_intensity_sma_de_quartile1,-1.7016761e-11
599,mfcc_sma_de[4]_skewness,-0.17940412
392,lspFreq_sma[6]_quartile1,2.212068
694,mfcc_sma_de[9]_skewness,0.13922347
829,lspFreq_sma_de[3]_quartile1,-0.0071147024
235,mfcc_sma[11]_linregerrA,6.4921083
15,pcm_intensity_sma_iqr1-2,4.2797203e-11
502,pcm_intensity_sma_de_linregerrQ,3.587404e-19
624,mfcc_sma_de[5]_iqr2-3,1.4370846
256,mfcc_sma[12]_stddev,8.447013
788,lspFreq_sma_de[1]_stddev,0.02445534
59,mfcc_sma[2]_maxPos,798.0
819,lspFreq_sma_de[3]_maxPos,24.0
620,mfcc_sma_de[5]_quartile1,-1.3562098
888,lspFreq_sma_de[6]_quartile3,0.0075411554
160,mfcc_sma[7]_linregerrQ,198.89894
363,lspFreq_sma[5]_maxPos,406.0
675,mfcc_sma_de[8]_skewness,0.19208457
947,voiceProb_sma_de_iqr2-3,0.019011335
854,lspFreq_sma_de[5]_max,0.09425862
559,mfcc_sma_de[2]_linregerrQ,4.1389723
621,mfcc_sma_de[5]_quartile2,0.04871025
645,mfcc_sma_de[7]_max,11.641415
558,mfcc_sma_de[2]_linregerrA,1.4879647
613,mfcc_sma_de[5]_linregc1,0.00019677002
680,mfcc_sma_de[8]_iqr1-2,1.3842357
775,lspFreq_sma_de[0]_iqr1-2,0.00980222
889,lspFreq_sma_de[6]_iqr1-2,0.0060427072
588,mfcc_sma_de[4]_max,6.3343706
452,voiceProb_sma_iqr1-2,0.07484594
606,mfcc_sma_de[4]_iqr1-3,2.237903
321,lspFreq_sma[2]_iqr1-3,0.11622453
720,mfcc_sma_de[10]_iqr1-3,2.4745128
731,mfcc_sma_de[11]_stddev,2.2861204
674,mfcc_sma_de[8]_stddev,2.1500008
834,lspFreq_sma_de[3]_iqr1-3,0.017435234
634,mfcc_sma_de[6]_linregerrA,1.7287087
202,mfcc_sma[9]_quartile1,-0.19544601
120,mfcc_sma[5]_linregc2,-3.7629054
264,mfcc_sma[12]_iqr1-3,10.199936
632,mfcc_sma_de[6]_linregc1,9.976601e-05
139,mfcc_sma[6]_linregc2,9.191434
598,mfcc_sma_de[4]_stddev,1.8479675
570,mfcc_sma_de[3]_min,-7.965187
578,mfcc_sma_de[3]_linregerrQ,3.478811
190,mfcc_sma[9]_min,-31.718328
540,mfcc_sma_de[1]_linregerrQ,6.1250954
266,lspFreq_sma[0]_min,0.06485692
930,voiceProb_sma_de_max,0.11224701
548,mfcc_sma_de[1]_iqr2-3,0.8683783
906,lspFreq_sma_de[7]_quartile2,0.00047097207
755,mfcc_sma_de[12]_quartile3,1.2715526
948,voiceProb_sma_de_iqr1-3,0.037462473
892,lspFreq_sma_de[7]_max,0.10287056
830,lspFreq_sma_de[3]_quartile2,0.0019016385
177,mfcc_sma[8]_linregc2,15.417871
171,mfcc_sma[8]_min,-33.355534
179,mfcc_sma[8]_linregerrQ,112.54608
529,pcm_loudness_sma_de_iqr2-3,0.0042643
693,mfcc_sma_de[9]_stddev,2.2816615
663,mfcc_sma_de[7]_iqr1-3,2.781648
903,lspFreq_sma_de[7]_skewness,-0.5936522
58,mfcc_sma[2]_range,69.80224
872,lspFreq_sma_de[5]_iqr1-3,0.014435995
849,lspFreq_sma_de[4]_quartile2,0.0010008335
164,mfcc_sma[7]_quartile1,-7.9626245
794,lspFreq_sma_de[1]_iqr1-2,0.0112494705
701,mfcc_sma_de[9]_iqr1-3,2.684844
105,mfcc_sma[4]_skewness,0.20505543
519,pcm_loudness_sma_de_linregc2,0.00017731599
891,lspFreq_sma_de[6]_iqr1-3,0.013064492
569,mfcc_sma_de[3]_max,6.5412765
404,lspFreq_sma[7]_linregc1,-7.9647536e-05
145,mfcc_sma[6]_quartile1,0.5820118
777,lspFreq_sma_de[0]_iqr1-3,0.019554809
104,mfcc_sma[4]_stddev,9.255757
754,mfcc_sma_de[12]_quartile2,0.032903194
114,mfcc_sma[5]_min,-54.363605
567,mfcc_sma_de[2]_iqr2-3,1.0589149
734,mfcc_sma_de[11]_quartile1,-1.3690207
546,mfcc_sma_de[1]_quartile3,0.7707394
225,mfcc_sma[10]_iqr2-3,5.581789
180,mfcc_sma[8]_stddev,10.615544
553,mfcc_sma_de[2]_maxPos,705.0
681,mfcc_sma_de[8]_iqr2-3,1.302913
577,mfcc_sma_de[3]_linregerrA,1.3670781
113,mfcc_sma[5]_max,29.439886
121,mfcc_sma[5]_linregerrA,14.333554
406,lspFreq_sma[7]_linregerrA,0.07107774
509,pcm_intensity_sma_de_iqr1-2,1.6749666e-11
625,mfcc_sma_de[5]_iqr1-3,2.8420045
850,lspFreq_sma_de[4]_quartile3,0.010399419
259,mfcc_sma[12]_quartile1,-3.0398588
813,lspFreq_sma_de[2]_iqr1-2,0.0069585266
656,mfcc_sma_de[7]_skewness,-0.26366568
583,mfcc_sma_de[3]_quartile2,-0.10031929
945,voiceProb_sma_de_quartile3,0.01871879
928,pcm_zcr_sma_de_iqr2-3,0.0025083108
302,lspFreq_sma[1]_iqr1-3,0.27368736
671,mfcc_sma_de[8]_linregc2,0.0068544764
603,mfcc_sma_de[4]_quartile3,1.0830879
689,mfcc_sma_de[9]_linregc1,-2.2234775e-05
523,pcm_loudness_sma_de_skewness,-0.02283317
836,lspFreq_sma_de[4]_min,-0.09688954
699,mfcc_sma_de[9]_iqr1-2,1.3012519
633,mfcc_sma_de[6]_linregc2,-0.05251569
690,mfcc_sma_de[9]_linregc2,0.008748832
751,mfcc_sma_de[12]_skewness,-0.36203504
881,lspFreq_sma_de[6]_linregerrA,0.012325112
661,mfcc_sma_de[7]_iqr1-2,1.4643592
659,mfcc_sma_de[7]_quartile2,0.1450657
639,mfcc_sma_de[6]_quartile1,-1.279875
902,lspFreq_sma_de[7]_stddev,0.020068744
774,lspFreq_sma_de[0]_quartile3,0.009191583
750,mfcc_sma_de[12]_stddev,2.0169325
564,mfcc_sma_de[2]_quartile2,0.11290922
163,mfcc_sma[7]_kurtosis,3.4310925
596,mfcc_sma_de[4]_linregerrA,1.4186671
718,mfcc_sma_de[10]_iqr1-2,1.1902771
616,mfcc_sma_de[5]_linregerrQ,6.8053613
217,mfcc_sma[10]_linregerrQ,74.03945
563,mfcc_sma_de[2]_quartile1,-1.0580003
739,mfcc_sma_de[11]_iqr1-3,2.741064
122,mfcc_sma[5]_linregerrQ,281.5837
